,year,state,state_abbr,county,commodity,AREA HARVESTED,AREA PLANTED,PRODUCTION,YIELD
121,2021,NORTH DAKOTA,ND,PEMBINA,WHEAT,193500.0,195500.0,6773000.0,35.0
122,2021,NORTH DAKOTA,ND,PIERCE,WHEAT,108000.0,117500.0,2214000.0,20.5
123,2021,NORTH DAKOTA,ND,RAMSEY,WHEAT,148600.0,150000.0,6063000.0,40.8
124,2021,NORTH DAKOTA,ND,RANSOM,WHEAT,20500.0,20900.0,1224000.0,59.7
125,2021,NORTH DAKOTA,ND,RENVILLE,WHEAT,130400.0,131500.0,5242000.0,40.2
126,2021,NORTH DAKOTA,ND,RICHLAND,WHEAT,43500.0,43800.0,2614000.0,60.1
127,2021,NORTH DAKOTA,ND,ROLETTE,WHEAT,94200.0,96400.0,3401000.0,36.1
128,2021,NORTH DAKOTA,ND,SHERIDAN,WHEAT,70600.0,79600.0,1871000.0,26.5
129,2021,NORTH DAKOTA,ND,SLOPE,WHEAT,94000.0,111500.0,1589000.0,16.9
130,2021,NORTH DAKOTA,ND,STARK,WHEAT,205500.0,214500.0,5733000.0,27.9
131,2021,NORTH DAKOTA,ND,STEELE,WHEAT,40500.0,41100.0,2021000.0,49.9
132,2021,NORTH DAKOTA,ND,STUTSMAN,WHEAT,58200.0,59400.0,2311000.0,39.7
133,2021,NORTH DAKOTA,ND,TOWNER,WHEAT,183000.0,185000.0,7869000.0,43.0
134,2021,NORTH DAKOTA,ND,TRAILL,WHEAT,67800.0,69100.0,3919000.0,57.8
135,2021,NORTH DAKOTA,ND,WALSH,WHEAT,186900.0,189000.0,7962000.0,42.6
136,2021,NORTH DAKOTA,ND,WARD,WHEAT,272000.0,286000.0,7834000.0,28.8
137,2021,NORTH DAKOTA,ND,WELLS,WHEAT,114200.0,117500.0,3871000.0,33.9
138,2021,NORTH DAKOTA,ND,WILLIAMS,WHEAT,80500.0,85100.0,2069000.0,25.7
139,2021,SOUTH DAKOTA,SD,BROOKINGS,WHEAT,1960.0,2200.0,121000.0,61.7
140,2021,SOUTH DAKOTA,SD,BROWN,WHEAT,11400.0,12000.0,473000.0,41.5
141,2021,SOUTH DAKOTA,SD,BUFFALO,WHEAT,1990.0,4300.0,55300.0,27.8
142,2021,SOUTH DAKOTA,SD,CAMPBELL,WHEAT,8610.0,13500.0,309000.0,35.9
143,2021,SOUTH DAKOTA,SD,CLARK,WHEAT,6700.0,6900.0,389000.0,58.1
144,2021,SOUTH DAKOTA,SD,CORSON,WHEAT,57500.0,67000.0,1637000.0,28.5
145,2021,SOUTH DAKOTA,SD,DAY,WHEAT,17000.0,17900.0,836000.0,49.2
146,2021,SOUTH DAKOTA,SD,DEUEL,WHEAT,4960.0,5200.0,306000.0,61.7
147,2021,SOUTH DAKOTA,SD,EDMUNDS,WHEAT,24100.0,29600.0,776000.0,32.2
148,2021,SOUTH DAKOTA,SD,GRANT,WHEAT,10300.0,10900.0,506000.0,49.1
149,2021,SOUTH DAKOTA,SD,HAMLIN,WHEAT,2630.0,2700.0,169000.0,64.3
150,2021,SOUTH DAKOTA,SD,HAND,WHEAT,9280.0,10800.0,392000.0,42.2
151,2021,SOUTH DAKOTA,SD,JACKSON,WHEAT,7540.0,8100.0,111000.0,14.7
152,2021,SOUTH DAKOTA,SD,JONES,WHEAT,5070.0,6200.0,106000.0,20.9
153,2021,SOUTH DAKOTA,SD,KINGSBURY,WHEAT,1530.0,1700.0,75900.0,49.6
154,2021,SOUTH DAKOTA,SD,LYMAN,WHEAT,8040.0,8400.0,249000.0,31.0
155,2021,SOUTH DAKOTA,SD,MARSHALL,WHEAT,4860.0,5100.0,255000.0,52.5
156,2021,SOUTH DAKOTA,SD,MEADE,WHEAT,6000.0,7100.0,67100.0,11.2
157,2021,SOUTH DAKOTA,SD,OTHER COUNTIES,WHEAT,329330.0,414700.0,7913700.0,24.0
158,2021,SOUTH DAKOTA,SD,PENNINGTON,WHEAT,9000.0,18500.0,116000.0,12.9
159,2021,SOUTH DAKOTA,SD,ROBERTS,WHEAT,12600.0,13000.0,593000.0,47.1
160,2021,SOUTH DAKOTA,SD,SPINK,WHEAT,12200.0,12600.0,449000.0,36.8
161,2021,SOUTH DAKOTA,SD,WALWORTH,WHEAT,16200.0,25100.0,562000.0,34.7
162,2021,SOUTH DAKOTA,SD,ZIEBACH,WHEAT,11200.0,16500.0,353000.0,31.5
163,2021,WASHINGTON,WA,ASOTIN,WHEAT,3480.0,3900.0,58800.0,16.9
164,2021,WASHINGTON,WA,COLUMBIA,WHEAT,24200.0,25700.0,765000.0,31.6
165,2021,WASHINGTON,WA,DOUGLAS,WHEAT,6480.0,7200.0,97500.0,15.0
166,2021,WASHINGTON,WA,FRANKLIN,WHEAT,2340.0,2600.0,165000.0,70.5
167,2021,WASHINGTON,WA,GARFIELD,WHEAT,28000.0,29500.0,703000.0,25.1
