year,reference_period_desc,prodn_practice_desc,state,state_abbr,state_fips,county,county_fips,agg_level,commodity,class,util_practice_desc,statistic_category,description,unit,value,coeff_variation_pct
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,CARIBOU,029,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,27.4,25.10
2022,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,CLARK,033,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,98.4,3.3
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,FRANKLIN,041,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,87.2,36.8
2022,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,FRANKLIN,041,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,56.6,13.7
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,JEFFERSON,051,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,109.0,12.6
2022,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,JEFFERSON,051,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,96.6,6.2
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,JEFFERSON,051,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,108.4,7.60
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,MADISON,065,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,124.8,2.7
2022,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,MADISON,065,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,102.6,6.4
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,MADISON,065,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,84.5,10.40
