year,state,state_abbr,state_fips,county,county_fips,agg_level,commodity,class,statistic_category,description,unit,value,coeff_variation_pct
2021,WASHINGTON,WA,53,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,35.0,
2021,WASHINGTON,WA,53,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,37.0,
2025,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,435000,
2025,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,420000,
2025,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,400000,
2025,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,400000,
2024,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,450000,
2024,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,460000,
2024,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,460000,
2024,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,410000,
2023,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,410000,
2023,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,400000,
2023,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,420000,
2022,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,380000,
2022,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,470000,
2022,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,470000,
2021,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,510000,
2021,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,520000,
2021,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,530000,
2025,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1150000,
2025,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1150000,
2025,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1210000,
2025,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1260000,
2024,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1220000,
2024,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1220000,
2024,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1550000,
2024,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1600000,
2023,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1300000,
2023,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1140000,
2023,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1180000,
2022,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1250000,
2022,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1250000,
2022,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1260000,
2021,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1210000,
2021,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1220000,
2021,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,1380000,
2025,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,2150000,
2025,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,2200000,
2025,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,2300000,
2025,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,2150000,
2024,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,2500000,
2024,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,2450000,
2024,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,2450000,
2024,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,2700000,
2023,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",AREA PLANTED,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",ACRES,2700000,
